代碼,名稱,收盤價,成交量,季線(MA60),最新形態,推薦指數,季線之上
0053,元大電子,226.8,35138,233.51666666666668,內困型態,15 分 ⏳,False
0055,元大MSCI金融,43.92,316149,39.720166666666664,內困型態,30 分 ⏳,True
0061,元大寶滬深,24.64,92247,24.99383333333333,內困型態,15 分 ⏳,False
006204,永豐臺灣加權,216.0,6470,221.00833333333333,多頭吞噬,30 分 ⏳,False
006207,復華滬深,32.83,217711,33.4315,多頭吞噬,30 分 ⏳,False
00636,國泰中國A50,28.19,193119,28.611833333333333,內困型態,15 分 ⏳,False
00639,富邦深100,16.95,452816,17.859500000000004,多頭吞噬,30 分 ⏳,False
00701,國泰股利精選30,38.68,543481,36.67866666666667,內困型態,30 分 ⏳,True
00709,富邦歐洲,41.16,36105,39.37649999999999,內困型態,30 分 ⏳,True
00714,群益道瓊美國地產,22.71,380594,21.94083333333333,多頭吞噬,60 分 ⏳,True
00783,富邦中証500,27.81,31458,29.586000000000002,多頭吞噬,30 分 ⏳,False
00915,凱基優選高股息30,31.54,4951905,30.39966666666667,多頭吞噬,60 分 ⏳,True
00944,野村趨勢動能高息,20.25,98611,20.645666666666667,內困型態,15 分 ⏳,False
00951,台新日本半導體,17.65,2554456,18.26383333333333,內困型態,15 分 ⏳,False
00963,中信全球高股息,13.47,1136591,12.802333333333333,多頭吞噬,60 分 ⏳,True
00972,野村日本動能高息,21.3,186785,19.7645,內困型態,30 分 ⏳,True
009812,野村日本東證,12.67,195282,12.293,內困型態,30 分 ⏳,True
020020,元大台股領航N,26.13,2000,26.66016666666667,內困型態,15 分 ⏳,False
020037,元大金融高股息N,11.66,10000,9.709666666666667,攻擊K線,100 分 🚀,True
1216,統一,73.9,25972113,75.29333333333334,多頭吞噬,30 分 ⏳,False
1301,台塑,55.3,23236509,52.84666666666667,多頭吞噬,60 分 ⏳,True
1303,南亞,170.5,91900316,139.52166666666665,多頭吞噬,60 分 ⏳,True
1307,三芳,31.75,403347,33.119166666666665,多頭吞噬,30 分 ⏳,False
1325,恆大,26.05,157011,26.110833333333336,內困型態,15 分 ⏳,False
1326,台化,58.2,28720049,55.565000000000005,多頭吞噬,60 分 ⏳,True
1337,再生-KY,4.65,287970,4.931333333333333,內困型態,15 分 ⏳,False
1340,勝悅-KY,5.05,88277,5.455333333333333,內困型態,15 分 ⏳,False
1402,遠東新,27.15,13974311,27.32333333333333,多頭吞噬,30 分 ⏳,False
1418,東華,18.0,15033,18.360000000000003,內困型態,15 分 ⏳,False
1434,福懋,17.35,2613696,16.968333333333334,多頭吞噬,60 分 ⏳,True
1444,力麗,7.14,856920,7.274166666666667,內困型態,15 分 ⏳,False
1447,力鵬,6.85,1354648,6.826666666666667,內困型態,30 分 ⏳,True
1460,宏遠,6.73,279425,7.110166666666667,內困型態,15 分 ⏳,False
1465,偉全,12.5,56980,12.516666666666667,內困型態,15 分 ⏳,False
1477,聚陽,222.0,2220287,220.23333333333332,多頭吞噬,60 分 ⏳,True
1522,堤維西,28.25,346591,30.116666666666667,多頭吞噬,30 分 ⏳,False
1531,高林股,12.9,99194,12.796666666666665,內困型態,30 分 ⏳,True
1539,巨庭,16.1,45000,15.8925,內困型態,30 分 ⏳,True
1558,伸興,91.7,60777,91.29,多頭吞噬,60 分 ⏳,True
1583,程泰,49.3,27475,50.419999999999995,內困型態,15 分 ⏳,False
1623,大東電,213.0,55978,222.90833333333333,內困型態,15 分 ⏳,False
1709,和益,25.2,3901124,22.0775,多頭吞噬,60 分 ⏳,True
1733,五鼎,32.25,130316,30.128333333333334,內困型態,30 分 ⏳,True
1795,美時,186.0,1117469,194.15,內困型態,15 分 ⏳,False
1810,和成,24.9,9007890,22.375,多頭吞噬,60 分 ⏳,True
2027,大成鋼,44.25,12225004,41.70333333333334,內困型態,30 分 ⏳,True
2032,新鋼,15.6,215799,16.8775,多頭吞噬,30 分 ⏳,False
2038,海光,12.25,284897,13.340833333333332,多頭吞噬,30 分 ⏳,False
2069,運錩,18.55,246960,18.992500000000003,內困型態,15 分 ⏳,False
2105,正新,30.45,5089646,31.975,多頭吞噬,30 分 ⏳,False
2208,台船,19.0,2192245,18.891666666666666,多頭吞噬,60 分 ⏳,True
2233,宇隆,204.0,673917,272.05833333333334,多頭吞噬,30 分 ⏳,False
2254,巨鎧精密-創,61.0,16035,61.14833333333333,多頭吞噬,45 分 ⏳,False
2301,光寶科,252.0,67014546,217.16666666666666,攻擊K線,120 分 🚀,True
2308,台達電,1620.0,20958807,2031.3333333333333,多頭吞噬,30 分 ⏳,False
2371,大同,25.25,6337976,27.88083333333333,內困型態,15 分 ⏳,False
2375,凱美,122.0,4443359,157.23666666666668,內困型態,15 分 ⏳,False
2388,威盛,80.3,8797535,73.73333333333333,攻擊K線,100 分 🚀,True
2402,毅嘉,53.8,1560300,64.03833333333334,內困型態,15 分 ⏳,False
2414,精技,59.6,433320,56.33083333333333,多頭吞噬,60 分 ⏳,True
2420,新巨,54.3,436216,59.99333333333333,內困型態,15 分 ⏳,False
2421,建準,135.5,1381098,144.74166666666667,內困型態,15 分 ⏳,False
2425,承啟,50.2,16737026,39.35666666666667,攻擊K線,120 分 🚀,True
